Tarih,imdi,Açılış,Yüksek,Düşük,Hac.,Fark 
22.09.2022,18.3421,18.3444,18.4081,18.1859,,0.12
21.09.2022,18.3204,18.3154,18.41,18.2954,,-0.04
21.09.2022,18.3279,18.3057,18.3445,18.1379,,0.13
20.09.2022,18.3034,18.2964,18.3604,18.2865,,-0.02
20.09.2022,18.3074,18.2768,18.3374,18.1159,,0.00
19.09.2022,18.308,18.2922,18.3457,18.274,,0.12
19.09.2022,18.2853,18.2565,18.307,18.104,,0.16
16.09.2022,18.2564,18.266,18.2904,18.0771,,0.01
15.09.2022,18.2543,18.24,18.2947,18.2227,,-0.06
15.09.2022,18.2661,18.2347,18.2833,18.0803,,0.05
14.09.2022,18.257,18.2282,18.2933,18.2165,,0.10
14.09.2022,18.2384,18.2488,18.2673,18.0803,,0.07
13.09.2022,18.2254,18.2512,18.2666,18.2119,,-0.13
13.09.2022,18.2498,18.2217,18.2693,18.0599,,0.04
12.09.2022,18.2418,18.2235,18.2885,18.2075,,0.10
12.09.2022,18.2244,18.2276,18.2552,18.0752,,-0.07
09.09.2022,18.2364,18.2316,18.255,18.061,,0.02
08.09.2022,18.2334,18.2261,18.2769,18.1865,,0.00
08.09.2022,18.2328,18.2225,18.2477,18.0506,,0.04
07.09.2022,18.2253,18.2199,18.261,18.1967,,-0.01
07.09.2022,18.2275,18.2244,18.257,18.065,,0.06
06.09.2022,18.217,18.2166,18.2685,18.1695,,-0.04
06.09.2022,18.2246,18.2209,18.2604,18.048,,0.05
05.09.2022,18.2153,18.2042,18.2838,18.1835,,-0.02
05.09.2022,18.219,18.2004,18.2413,18.0592,,0.10
02.09.2022,18.2007,18.2227,18.2865,18.0701,,-0.27
01.09.2022,18.2491,18.1975,18.2589,18.1636,,0.24
01.09.2022,18.2048,18.1981,18.2248,18.1495,,0.00
31.08.2022,18.205,18.1797,18.2311,18.1345,,0.04
31.08.2022,18.1978,18.176,18.237,18.026,,0.15
30.08.2022,18.1712,18.1518,18.2273,18.1272,,-0.07
30.08.2022,18.1844,18.1951,18.2193,18.1427,,0.18
29.08.2022,18.152,18.173,18.2154,18.1249,,-0.17
29.08.2022,18.1822,18.1647,18.2,18.018,,0.11
26.08.2022,18.1629,18.1863,18.2206,17.9996,,0.11
25.08.2022,18.1433,18.142,18.2083,18.1377,,-0.14
25.08.2022,18.1689,18.1501,18.1787,17.9637,,0.08
24.08.2022,18.1544,18.1394,18.185,18.1225,,0.01
24.08.2022,18.1517,18.1217,18.1771,17.943,,0.08
23.08.2022,18.1378,18.0756,18.1685,18.0756,,0.15
23.08.2022,18.1114,18.0692,18.1431,17.9391,,0.11
22.08.2022,18.092,18.0278,18.1366,18.0192,,0.10
22.08.2022,18.0731,18.1009,18.1742,17.9661,,-0.08
19.08.2022,18.087,18.0058,18.1281,17.905,,0.01
18.08.2022,18.085,18.0587,18.1261,18.0385,,0.28
18.08.2022,18.0344,17.9609,18.1654,17.7969,,-0.12
17.08.2022,18.0561,17.9345,18.1655,17.9235,,0.59
17.08.2022,17.9506,17.9224,17.9803,17.7847,,0.09
16.08.2022,17.9342,17.9042,18.0056,17.8999,,0.01
16.08.2022,17.9332,17.9723,17.9901,17.7936,,0.18
15.08.2022,17.9004,17.9482,17.9703,17.8855,,-0.33
15.08.2022,17.9599,17.9373,17.9766,17.7279,,0.13
12.08.2022,17.9363,17.9369,17.9792,17.7099,,0.02
11.08.2022,17.9324,17.9368,17.9753,17.9074,,-0.07
11.08.2022,17.945,17.878,17.9748,17.7444,,0.12
